Customer: 0 || prods: 46 || in queue 0.776 sec || total 0.861 sec || visited 2
Customer: 1 || prods: 1 || in queue 2.018 sec || total 2.173 sec || visited 2
Customer: 2 || prods: 43 || in queue 1.483 sec || total 1.603 sec || visited 2
Customer: 3 || prods: 61 || in queue 1.064 sec || total 1.206 sec || visited 2
Customer: 4 || prods: 92 || in queue 1.963 sec || total 2.128 sec || visited 2
Customer: 5 || prods: 81 || in queue 2.340 sec || total 2.385 sec || visited 2
Customer: 6 || prods: 33 || in queue 1.495 sec || total 1.562 sec || visited 2
Customer: 7 || prods: 86 || in queue 0.687 sec || total 0.798 sec || visited 2
Customer: 8 || prods: 38 || in queue 2.185 sec || total 2.293 sec || visited 2
Customer: 9 || prods: 76 || in queue 1.776 sec || total 1.900 sec || visited 2
Customer: 10 || prods: 30 || in queue 1.222 sec || total 1.332 sec || visited 2
Customer: 11 || prods: 27 || in queue 0.790 sec || total 0.950 sec || visited 2
Customer: 12 || prods: 96 || in queue 1.226 sec || total 1.409 sec || visited 2
Customer: 13 || prods: 89 || in queue 0.865 sec || total 1.051 sec || visited 2
Customer: 14 || prods: 84 || in queue 1.129 sec || total 1.193 sec || visited 2
Customer: 15 || prods: 38 || in queue 1.725 sec || total 1.904 sec || visited 2
Customer: 16 || prods: 9 || in queue 1.382 sec || total 1.446 sec || visited 2
Customer: 17 || prods: 67 || in queue 0.438 sec || total 0.454 sec || visited 1
Customer: 18 || prods: 24 || in queue 0.696 sec || total 0.818 sec || visited 2
Customer: 19 || prods: 16 || in queue 0.078 sec || total 0.104 sec || visited 1
Customer: 20 || prods: 27 || in queue 0.520 sec || total 0.544 sec || visited 1
Customer: 21 || prods: 8 || in queue 0.178 sec || total 0.223 sec || visited 1
Customer: 22 || prods: 68 || in queue 0.889 sec || total 1.034 sec || visited 2
Customer: 23 || prods: 22 || in queue 1.147 sec || total 1.225 sec || visited 2
Customer: 24 || prods: 28 || in queue 3.001 sec || total 3.123 sec || visited 3
Customer: 25 || prods: 61 || in queue 2.713 sec || total 2.815 sec || visited 4
Customer: 26 || prods: 67 || in queue 1.699 sec || total 1.782 sec || visited 2
Customer: 27 || prods: 5 || in queue 0.126 sec || total 0.161 sec || visited 1
Customer: 28 || prods: 75 || in queue 0.697 sec || total 0.731 sec || visited 1
Customer: 29 || prods: 39 || in queue 1.017 sec || total 1.171 sec || visited 3
Customer: 30 || prods: 31 || in queue 1.168 sec || total 1.301 sec || visited 2
Customer: 31 || prods: 26 || in queue 1.384 sec || total 1.478 sec || visited 2
Customer: 32 || prods: 29 || in queue 0.856 sec || total 1.044 sec || visited 2
Customer: 33 || prods: 55 || in queue 0.901 sec || total 1.029 sec || visited 2
Customer: 34 || prods: 46 || in queue 2.097 sec || total 2.172 sec || visited 2
Customer: 35 || prods: 39 || in queue 1.849 sec || total 2.031 sec || visited 2
Customer: 36 || prods: 0 || in queue 0.000 sec || total 0.087 sec || visited 0
Customer: 37 || prods: 48 || in queue 0.695 sec || total 0.873 sec || visited 2
Customer: 38 || prods: 62 || in queue 1.972 sec || total 2.130 sec || visited 2
Customer: 39 || prods: 44 || in queue 0.125 sec || total 0.136 sec || visited 1
Customer: 40 || prods: 55 || in queue 0.270 sec || total 0.283 sec || visited 1
Customer: 41 || prods: 84 || in queue 1.186 sec || total 1.383 sec || visited 2
Customer: 42 || prods: 29 || in queue 0.996 sec || total 1.134 sec || visited 2
Customer: 43 || prods: 66 || in queue 0.485 sec || total 0.575 sec || visited 1
Customer: 44 || prods: 64 || in queue 0.341 sec || total 0.395 sec || visited 1
Customer: 45 || prods: 62 || in queue 1.197 sec || total 1.377 sec || visited 3
Customer: 46 || prods: 46 || in queue 1.413 sec || total 1.468 sec || visited 2
Customer: 47 || prods: 84 || in queue 1.641 sec || total 1.777 sec || visited 2
Customer: 48 || prods: 57 || in queue 0.839 sec || total 0.977 sec || visited 2
Customer: 49 || prods: 91 || in queue 1.660 sec || total 1.702 sec || visited 2
Customer: 50 || prods: 50 || in queue 0.977 sec || total 1.044 sec || visited 2
Customer: 51 || prods: 1 || in queue 0.543 sec || total 0.711 sec || visited 2
Customer: 52 || prods: 51 || in queue 0.512 sec || total 0.586 sec || visited 2
Customer: 53 || prods: 68 || in queue 0.382 sec || total 0.545 sec || visited 1
Customer: 54 || prods: 99 || in queue 0.304 sec || total 0.366 sec || visited 1
Customer: 55 || prods: 15 || in queue 0.073 sec || total 0.125 sec || visited 1
Customer: 56 || prods: 95 || in queue 2.728 sec || total 2.826 sec || visited 5
Customer: 57 || prods: 91 || in queue 1.984 sec || total 2.162 sec || visited 2
Customer: 58 || prods: 66 || in queue 1.460 sec || total 1.507 sec || visited 3
Customer: 59 || prods: 55 || in queue 1.672 sec || total 1.795 sec || visited 1
Customer: 60 || prods: 64 || in queue 1.780 sec || total 1.966 sec || visited 1
Customer: 61 || prods: 17 || in queue 2.538 sec || total 2.684 sec || visited 2
Customer: 62 || prods: 86 || in queue 0.758 sec || total 0.820 sec || visited 1
Customer: 63 || prods: 61 || in queue 0.159 sec || total 0.287 sec || visited 1
Customer: 64 || prods: 10 || in queue 0.056 sec || total 0.080 sec || visited 1
Customer: 65 || prods: 30 || in queue 1.812 sec || total 2.005 sec || visited 1
Customer: 66 || prods: 77 || in queue 2.223 sec || total 2.408 sec || visited 2
Customer: 67 || prods: 10 || in queue 1.755 sec || total 1.831 sec || visited 1
Customer: 68 || prods: 14 || in queue 1.776 sec || total 1.872 sec || visited 1
Customer: 69 || prods: 60 || in queue 1.894 sec || total 1.906 sec || visited 1
Customer: 70 || prods: 16 || in queue 0.139 sec || total 0.274 sec || visited 1
Customer: 71 || prods: 71 || in queue 0.265 sec || total 0.300 sec || visited 1
Customer: 72 || prods: 43 || in queue 1.770 sec || total 1.889 sec || visited 1
Customer: 73 || prods: 81 || in queue 1.912 sec || total 2.029 sec || visited 1
Customer: 74 || prods: 54 || in queue 2.045 sec || total 2.134 sec || visited 4
Customer: 75 || prods: 4 || in queue 2.898 sec || total 3.000 sec || visited 2
Customer: 76 || prods: 67 || in queue 1.503 sec || total 1.605 sec || visited 2
Customer: 77 || prods: 24 || in queue 1.829 sec || total 1.865 sec || visited 1
Customer: 78 || prods: 42 || in queue 1.951 sec || total 2.103 sec || visited 1
Customer: 79 || prods: 32 || in queue 0.522 sec || total 0.615 sec || visited 1
Customer: 80 || prods: 7 || in queue 0.436 sec || total 0.475 sec || visited 1
Customer: 81 || prods: 64 || in queue 0.174 sec || total 0.365 sec || visited 1
Customer: 82 || prods: 21 || in queue 0.146 sec || total 0.216 sec || visited 2
Customer: 83 || prods: 35 || in queue 2.000 sec || total 2.146 sec || visited 1
Customer: 84 || prods: 70 || in queue 0.695 sec || total 0.853 sec || visited 1
Customer: 85 || prods: 6 || in queue 0.503 sec || total 0.514 sec || visited 1
Customer: 86 || prods: 63 || in queue 0.524 sec || total 0.600 sec || visited 1
Customer: 87 || prods: 25 || in queue 1.789 sec || total 1.977 sec || visited 1
Customer: 88 || prods: 23 || in queue 2.456 sec || total 2.614 sec || visited 2
Customer: 89 || prods: 25 || in queue 2.089 sec || total 2.132 sec || visited 1
Customer: 90 || prods: 21 || in queue 2.500 sec || total 2.559 sec || visited 2
Customer: 91 || prods: 66 || in queue 2.680 sec || total 2.734 sec || visited 2
Customer: 92 || prods: 21 || in queue 0.079 sec || total 0.094 sec || visited 1
Customer: 93 || prods: 96 || in queue 0.264 sec || total 0.322 sec || visited 1
Customer: 94 || prods: 15 || in queue 0.615 sec || total 0.787 sec || visited 2
Customer: 95 || prods: 31 || in queue 0.395 sec || total 0.450 sec || visited 2
Customer: 96 || prods: 7 || in queue 0.986 sec || total 1.165 sec || visited 2
Customer: 97 || prods: 24 || in queue 1.966 sec || total 2.059 sec || visited 1
Customer: 98 || prods: 90 || in queue 0.419 sec || total 0.581 sec || visited 1
Customer: 99 || prods: 94 || in queue 0.235 sec || total 0.247 sec || visited 1
Customer: 100 || prods: 4 || in queue 0.463 sec || total 0.531 sec || visited 1
Customer: 101 || prods: 17 || in queue 0.561 sec || total 0.707 sec || visited 1
Customer: 102 || prods: 57 || in queue 0.572 sec || total 0.637 sec || visited 1
Customer: 103 || prods: 73 || in queue 0.812 sec || total 0.899 sec || visited 2
Customer: 104 || prods: 54 || in queue 1.814 sec || total 1.967 sec || visited 1
Customer: 105 || prods: 28 || in queue 1.913 sec || total 2.066 sec || visited 1
Customer: 106 || prods: 95 || in queue 0.607 sec || total 0.669 sec || visited 1
Customer: 107 || prods: 23 || in queue 1.628 sec || total 1.743 sec || visited 1
Customer: 108 || prods: 79 || in queue 1.594 sec || total 1.648 sec || visited 1
Customer: 109 || prods: 95 || in queue 1.823 sec || total 1.983 sec || visited 1
Customer: 110 || prods: 3 || in queue 0.897 sec || total 1.018 sec || visited 2
Customer: 111 || prods: 82 || in queue 0.739 sec || total 0.924 sec || visited 1
Customer: 112 || prods: 43 || in queue 0.866 sec || total 1.057 sec || visited 1
Customer: 113 || prods: 68 || in queue 0.942 sec || total 1.132 sec || visited 1
Customer: 114 || prods: 84 || in queue 0.407 sec || total 0.563 sec || visited 1
Customer: 115 || prods: 60 || in queue 2.039 sec || total 2.089 sec || visited 1
Customer: 116 || prods: 81 || in queue 1.064 sec || total 1.210 sec || visited 2
Customer: 117 || prods: 49 || in queue 0.660 sec || total 0.826 sec || visited 2
Customer: 118 || prods: 76 || in queue 2.706 sec || total 2.810 sec || visited 2
Customer: 119 || prods: 77 || in queue 0.200 sec || total 0.213 sec || visited 1
Customer: 120 || prods: 29 || in queue 0.927 sec || total 1.101 sec || visited 1
Customer: 121 || prods: 12 || in queue 1.797 sec || total 1.945 sec || visited 1
Customer: 122 || prods: 44 || in queue 1.017 sec || total 1.092 sec || visited 2
Customer: 123 || prods: 87 || in queue 1.905 sec || total 2.101 sec || visited 1
Customer: 124 || prods: 12 || in queue 1.821 sec || total 1.878 sec || visited 1
Customer: 125 || prods: 84 || in queue 0.205 sec || total 0.227 sec || visited 1
Customer: 126 || prods: 92 || in queue 0.294 sec || total 0.438 sec || visited 1
Customer: 127 || prods: 60 || in queue 1.878 sec || total 1.889 sec || visited 1
Customer: 128 || prods: 45 || in queue 1.733 sec || total 1.891 sec || visited 1
Customer: 129 || prods: 51 || in queue 1.842 sec || total 2.037 sec || visited 1
Customer: 130 || prods: 45 || in queue 2.144 sec || total 2.171 sec || visited 2
Customer: 131 || prods: 84 || in queue 0.846 sec || total 1.032 sec || visited 1
Customer: 132 || prods: 44 || in queue 0.124 sec || total 0.184 sec || visited 1
Customer: 133 || prods: 35 || in queue 1.942 sec || total 2.098 sec || visited 1
Customer: 134 || prods: 89 || in queue 0.730 sec || total 0.852 sec || visited 1
Customer: 135 || prods: 37 || in queue 0.237 sec || total 0.305 sec || visited 1
Customer: 136 || prods: 71 || in queue 2.235 sec || total 2.429 sec || visited 1
Customer: 137 || prods: 84 || in queue 0.566 sec || total 0.680 sec || visited 1
Customer: 138 || prods: 93 || in queue 0.987 sec || total 1.120 sec || visited 1
Customer: 139 || prods: 46 || in queue 1.832 sec || total 1.843 sec || visited 1
Customer: 140 || prods: 86 || in queue 1.106 sec || total 1.222 sec || visited 1
Customer: 141 || prods: 13 || in queue 1.877 sec || total 1.932 sec || visited 1
Customer: 142 || prods: 96 || in queue 0.665 sec || total 0.812 sec || visited 1
Customer: 143 || prods: 48 || in queue 2.123 sec || total 2.308 sec || visited 1
Customer: 144 || prods: 11 || in queue 0.521 sec || total 0.660 sec || visited 1
Customer: 145 || prods: 11 || in queue 1.158 sec || total 1.202 sec || visited 1
Customer: 146 || prods: 47 || in queue 1.794 sec || total 1.953 sec || visited 1
Customer: 147 || prods: 49 || in queue 0.296 sec || total 0.466 sec || visited 1
Customer: 148 || prods: 88 || in queue 0.212 sec || total 0.331 sec || visited 1
Customer: 149 || prods: 20 || in queue 0.595 sec || total 0.735 sec || visited 1
Customer: 150 || prods: 33 || in queue 0.607 sec || total 0.649 sec || visited 1
Customer: 151 || prods: 8 || in queue 2.092 sec || total 2.244 sec || visited 1
Customer: 152 || prods: 0 || in queue 0.000 sec || total 0.185 sec || visited 0
Customer: 153 || prods: 72 || in queue 0.941 sec || total 1.124 sec || visited 1
Customer: 154 || prods: 42 || in queue 0.350 sec || total 0.373 sec || visited 1
Customer: 155 || prods: 49 || in queue 0.395 sec || total 0.559 sec || visited 1
Customer: 156 || prods: 46 || in queue 0.396 sec || total 0.424 sec || visited 1
Customer: 157 || prods: 23 || in queue 1.980 sec || total 2.121 sec || visited 1
Customer: 158 || prods: 83 || in queue 0.439 sec || total 0.569 sec || visited 1
Customer: 159 || prods: 11 || in queue 0.492 sec || total 0.637 sec || visited 1
Customer: 160 || prods: 1 || in queue 0.516 sec || total 0.529 sec || visited 1
Customer: 161 || prods: 92 || in queue 0.606 sec || total 0.665 sec || visited 1
Customer: 162 || prods: 34 || in queue 1.024 sec || total 1.038 sec || visited 1
Customer: 163 || prods: 70 || in queue 1.118 sec || total 1.214 sec || visited 1
Customer: 164 || prods: 58 || in queue 2.091 sec || total 2.283 sec || visited 1
Customer: 165 || prods: 78 || in queue 0.462 sec || total 0.599 sec || visited 1
Customer: 166 || prods: 67 || in queue 1.952 sec || total 2.123 sec || visited 1
